"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"1880-01-01","42.0","14.0","0.00","M","M"
"1880-01-02","37.0","21.0","0.00","M","M"
"1880-01-03","46.0","26.0","T","M","M"
"1880-01-04","40.0","24.0","0.00","M","M"
"1880-01-05","40.0","26.0","0.01","M","M"
"1880-01-06","39.0","27.0","0.00","M","M"
"1880-01-07","38.0","26.0","0.02","M","M"
"1880-01-08","43.0","36.0","T","M","M"
"1880-01-09","39.0","11.0","0.02","M","M"
"1880-01-10","42.0","8.0","0.00","M","M"
"1880-01-11","39.0","5.0","0.02","M","M"
"1880-01-12","15.0","-4.0","0.00","M","M"
"1880-01-13","38.0","1.0","0.00","M","M"
"1880-01-14","37.0","7.0","0.00","M","M"
"1880-01-15","40.0","6.0","0.00","M","M"
"1880-01-16","43.0","32.0","0.00","M","M"
"1880-01-17","40.0","32.0","0.01","M","M"
"1880-01-18","48.0","33.0","0.00","M","M"
"1880-01-19","40.0","29.0","0.10","M","M"
"1880-01-20","32.0","25.0","0.01","M","M"
"1880-01-21","36.0","25.0","0.05","M","M"
"1880-01-22","35.0","22.0","0.00","M","M"
"1880-01-23","26.0","9.0","0.00","M","M"
"1880-01-24","36.0","14.0","0.02","M","M"
"1880-01-25","43.0","16.0","0.00","M","M"
"1880-01-26","44.0","26.0","0.04","M","M"
"1880-01-27","27.0","15.0","0.00","M","M"
"1880-01-28","15.0","-3.0","0.00","M","M"
"1880-01-29","21.0","3.0","0.45","M","M"
"1880-01-30","21.0","0.0","0.02","M","M"
"1880-01-31","24.0","-12.0","0.04","M","M"
"1880-02-01","7.0","-17.0","0.00","M","M"
"1880-02-02","25.0","-5.0","0.02","M","M"
"1880-02-03","18.0","3.0","0.00","M","M"
"1880-02-04","12.0","-18.0","0.03","M","M"
"1880-02-05","12.0","-8.0","0.00","M","M"
"1880-02-06","17.0","-3.0","0.11","M","M"
"1880-02-07","27.0","-9.0","0.00","M","M"
"1880-02-08","33.0","5.0","0.00","M","M"
"1880-02-09","22.0","-13.0","0.00","M","M"
"1880-02-10","36.0","5.0","0.00","M","M"
"1880-02-11","41.0","27.0","0.22","M","M"
"1880-02-12","33.0","13.0","0.00","M","M"
"1880-02-13","23.0","4.0","0.00","M","M"
"1880-02-14","37.0","19.0","0.07","M","M"
"1880-02-15","40.0","17.0","0.00","M","M"
"1880-02-16","44.0","26.0","0.00","M","M"
"1880-02-17","40.0","11.0","0.00","M","M"
"1880-02-18","16.0","-1.0","0.00","M","M"
"1880-02-19","20.0","-3.0","0.00","M","M"
"1880-02-20","40.0","13.0","0.00","M","M"
"1880-02-21","35.0","14.0","0.00","M","M"
"1880-02-22","43.0","26.0","0.00","M","M"
"1880-02-23","46.0","23.0","0.00","M","M"
"1880-02-24","59.0","37.0","0.00","M","M"
"1880-02-25","45.0","28.0","T","M","M"
"1880-02-26","44.0","28.0","0.05","M","M"
"1880-02-27","36.0","23.0","0.23","M","M"
"1880-02-28","23.0","11.0","0.24","M","M"
"1880-02-29","11.0","-3.0","T","M","M"
"1880-03-01","32.0","4.0","0.00","M","M"
"1880-03-02","50.0","10.0","0.00","M","M"
"1880-03-03","48.0","35.0","T","M","M"
"1880-03-04","36.0","27.0","0.10","M","M"
"1880-03-05","40.0","19.0","0.02","M","M"
"1880-03-06","50.0","21.0","0.00","M","M"
"1880-03-07","35.0","7.0","0.00","M","M"
"1880-03-08","35.0","8.0","0.00","M","M"
"1880-03-09","33.0","3.0","0.02","M","M"
"1880-03-10","34.0","9.0","0.04","M","M"
"1880-03-11","22.0","4.0","T","M","M"
"1880-03-12","20.0","4.0","0.00","M","M"
"1880-03-13","24.0","11.0","0.23","M","M"
"1880-03-14","15.0","-7.0","0.00","M","M"
"1880-03-15","23.0","2.0","0.00","M","M"
"1880-03-16","22.0","-4.0","0.00","M","M"
"1880-03-17","43.0","7.0","0.02","M","M"
"1880-03-18","39.0","31.0","0.20","M","M"
"1880-03-19","46.0","24.0","0.00","M","M"
"1880-03-20","43.0","23.0","0.00","M","M"
"1880-03-21","51.0","33.0","0.00","M","M"
"1880-03-22","62.0","28.0","0.00","M","M"
"1880-03-23","47.0","27.0","0.00","M","M"
"1880-03-24","40.0","28.0","0.06","M","M"
"1880-03-25","38.0","28.0","0.09","M","M"
"1880-03-26","48.0","35.0","0.02","M","M"
"1880-03-27","44.0","39.0","0.88","M","M"
"1880-03-28","52.0","36.0","0.00","M","M"
"1880-03-29","54.0","31.0","0.00","M","M"
"1880-03-30","57.0","35.0","0.00","M","M"
"1880-03-31","48.0","36.0","0.62","M","M"
"1880-04-01","50.0","31.0","0.00","0.00","M"
"1880-04-02","50.0","34.0","0.39","0.00","M"
"1880-04-03","49.0","37.0","0.00","0.00","M"
"1880-04-04","48.0","35.0","0.00","0.00","M"
"1880-04-05","41.0","32.0","0.01","M","M"
"1880-04-06","40.0","26.0","T","0.00","M"
"1880-04-07","45.0","22.0","0.00","0.00","M"
"1880-04-08","54.0","27.0","0.00","0.00","M"
"1880-04-09","72.0","37.0","0.00","0.00","M"
"1880-04-10","54.0","34.0","0.00","0.00","M"
"1880-04-11","52.0","28.0","0.00","0.00","M"
"1880-04-12","68.0","33.0","0.00","0.00","M"
"1880-04-13","74.0","45.0","0.00","0.00","M"
"1880-04-14","70.0","33.0","0.00","0.00","M"
"1880-04-15","53.0","23.0","0.00","0.00","M"
"1880-04-16","56.0","38.0","0.00","0.00","M"
"1880-04-17","64.0","37.0","0.00","0.00","M"
"1880-04-18","68.0","44.0","0.19","0.00","M"
"1880-04-19","48.0","34.0","0.03","M","M"
"1880-04-20","64.0","34.0","0.07","M","M"
"1880-04-21","79.0","43.0","0.00","0.00","M"
"1880-04-22","58.0","38.0","0.00","0.00","M"
"1880-04-23","52.0","41.0","0.02","0.00","M"
"1880-04-24","46.0","36.0","0.35","0.00","M"
"1880-04-25","47.0","36.0","T","0.00","M"
"1880-04-26","61.0","34.0","0.00","0.00","M"
"1880-04-27","62.0","35.0","0.00","0.00","M"
"1880-04-28","56.0","49.0","0.27","0.00","M"
"1880-04-29","54.0","37.0","0.25","0.00","M"
"1880-04-30","59.0","32.0","0.00","0.00","M"
"1880-05-01","86.0","45.0","0.00","0.00","M"
"1880-05-02","91.0","50.0","0.00","0.00","M"
"1880-05-03","85.0","59.0","0.00","0.00","M"
"1880-05-04","78.0","59.0","0.02","0.00","M"
"1880-05-05","80.0","60.0","0.01","0.00","M"
"1880-05-06","86.0","58.0","0.46","0.00","M"
"1880-05-07","69.0","48.0","0.21","0.00","M"
"1880-05-08","64.0","42.0","T","0.00","M"
"1880-05-09","63.0","48.0","0.08","0.00","M"
"1880-05-10","70.0","45.0","0.00","0.00","M"
"1880-05-11","76.0","43.0","0.00","0.00","M"
"1880-05-12","63.0","57.0","0.23","0.00","M"
"1880-05-13","66.0","52.0","0.45","0.00","M"
"1880-05-14","74.0","52.0","0.00","0.00","M"
"1880-05-15","77.0","50.0","0.00","0.00","M"
"1880-05-16","78.0","54.0","T","0.00","M"
"1880-05-17","83.0","62.0","0.58","0.00","M"
"1880-05-18","80.0","64.0","0.00","0.00","M"
"1880-05-19","76.0","52.0","0.00","0.00","M"
"1880-05-20","63.0","47.0","0.00","0.00","M"
"1880-05-21","67.0","40.0","0.00","0.00","M"
"1880-05-22","72.0","48.0","0.05","0.00","M"
"1880-05-23","59.0","47.0","0.16","0.00","M"
"1880-05-24","76.0","55.0","0.00","0.00","M"
"1880-05-25","84.0","67.0","0.01","0.00","M"
"1880-05-26","74.0","57.0","0.04","0.00","M"
"1880-05-27","68.0","45.0","0.00","0.00","M"
"1880-05-28","85.0","47.0","0.00","0.00","M"
"1880-05-29","69.0","56.0","0.00","0.00","M"
"1880-05-30","73.0","53.0","0.21","0.00","M"
"1880-05-31","67.0","48.0","0.12","0.00","M"
"1880-06-01","70.0","49.0","0.22","0.00","M"
"1880-06-02","71.0","48.0","0.08","0.00","M"
"1880-06-03","75.0","54.0","0.13","0.00","M"
"1880-06-04","67.0","56.0","1.92","0.00","M"
"1880-06-05","69.0","59.0","0.51","0.00","M"
"1880-06-06","75.0","55.0","0.52","0.00","M"
"1880-06-07","77.0","50.0","0.00","0.00","M"
"1880-06-08","69.0","55.0","0.18","0.00","M"
"1880-06-09","73.0","62.0","0.01","0.00","M"
"1880-06-10","79.0","63.0","0.37","0.00","M"
"1880-06-11","83.0","67.0","0.02","0.00","M"
"1880-06-12","85.0","66.0","T","0.00","M"
"1880-06-13","79.0","58.0","0.00","0.00","M"
"1880-06-14","66.0","51.0","0.85","0.00","M"
"1880-06-15","77.0","47.0","0.00","0.00","M"
"1880-06-16","78.0","54.0","0.00","0.00","M"
"1880-06-17","84.0","62.0","0.00","0.00","M"
"1880-06-18","78.0","65.0","T","0.00","M"
"1880-06-19","82.0","61.0","0.00","0.00","M"
"1880-06-20","84.0","64.0","0.00","0.00","M"
"1880-06-21","86.0","67.0","0.00","0.00","M"
"1880-06-22","87.0","69.0","0.00","0.00","M"
"1880-06-23","87.0","65.0","0.47","0.00","M"
"1880-06-24","88.0","62.0","0.01","0.00","M"
"1880-06-25","85.0","64.0","0.00","0.00","M"
"1880-06-26","88.0","62.0","0.00","0.00","M"
"1880-06-27","78.0","65.0","0.17","0.00","M"
"1880-06-28","77.0","59.0","0.09","0.00","M"
"1880-06-29","78.0","58.0","0.00","0.00","M"
"1880-06-30","77.0","56.0","0.00","0.00","M"
"1880-07-01","83.0","62.0","0.00","0.00","M"
"1880-07-02","78.0","57.0","0.00","0.00","M"
"1880-07-03","86.0","65.0","0.00","0.00","M"
"1880-07-04","87.0","64.0","0.00","0.00","M"
"1880-07-05","83.0","60.0","0.04","0.00","M"
"1880-07-06","83.0","56.0","0.00","0.00","M"
"1880-07-07","80.0","62.0","T","0.00","M"
"1880-07-08","87.0","64.0","0.38","0.00","M"
"1880-07-09","87.0","71.0","0.02","0.00","M"
"1880-07-10","89.0","68.0","0.15","0.00","M"
"1880-07-11","86.0","67.0","1.00","0.00","M"
"1880-07-12","93.0","73.0","0.10","0.00","M"
"1880-07-13","90.0","71.0","0.00","0.00","M"
"1880-07-14","92.0","64.0","0.00","0.00","M"
"1880-07-15","80.0","65.0","0.00","0.00","M"
"1880-07-16","81.0","61.0","0.15","0.00","M"
"1880-07-17","81.0","59.0","0.00","0.00","M"
"1880-07-18","72.0","53.0","0.18","0.00","M"
"1880-07-19","73.0","54.0","0.03","0.00","M"
"1880-07-20","75.0","52.0","0.08","0.00","M"
"1880-07-21","80.0","54.0","0.03","0.00","M"
"1880-07-22","83.0","58.0","0.00","0.00","M"
"1880-07-23","87.0","59.0","0.00","0.00","M"
"1880-07-24","91.0","62.0","0.19","0.00","M"
"1880-07-25","88.0","65.0","0.03","0.00","M"
"1880-07-26","86.0","63.0","0.00","0.00","M"
"1880-07-27","82.0","63.0","0.00","0.00","M"
"1880-07-28","83.0","64.0","0.00","0.00","M"
"1880-07-29","88.0","67.0","T","0.00","M"
"1880-07-30","81.0","68.0","0.37","0.00","M"
"1880-07-31","86.0","64.0","0.00","0.00","M"
"1880-08-01","81.0","63.0","0.62","0.00","M"
"1880-08-02","79.0","53.0","0.00","0.00","M"
"1880-08-03","80.0","52.0","0.00","0.00","M"
"1880-08-04","84.0","55.0","0.00","0.00","M"
"1880-08-05","83.0","56.0","0.00","0.00","M"
"1880-08-06","81.0","59.0","0.00","0.00","M"
"1880-08-07","88.0","62.0","0.00","0.00","M"
"1880-08-08","87.0","61.0","0.03","0.00","M"
"1880-08-09","86.0","63.0","0.02","0.00","M"
"1880-08-10","83.0","60.0","0.00","0.00","M"
"1880-08-11","83.0","56.0","0.00","0.00","M"
"1880-08-12","90.0","62.0","0.00","0.00","M"
"1880-08-13","98.0","67.0","0.00","0.00","M"
"1880-08-14","82.0","65.0","0.00","0.00","M"
"1880-08-15","70.0","60.0","0.14","0.00","M"
"1880-08-16","72.0","58.0","0.44","0.00","M"
"1880-08-17","86.0","66.0","0.00","0.00","M"
"1880-08-18","84.0","70.0","0.02","0.00","M"
"1880-08-19","86.0","65.0","0.00","0.00","M"
"1880-08-20","76.0","59.0","0.00","0.00","M"
"1880-08-21","80.0","51.0","0.00","0.00","M"
"1880-08-22","90.0","61.0","0.00","0.00","M"
"1880-08-23","75.0","63.0","0.20","0.00","M"
"1880-08-24","65.0","54.0","0.08","0.00","M"
"1880-08-25","61.0","52.0","0.00","0.00","M"
"1880-08-26","69.0","57.0","0.20","0.00","M"
"1880-08-27","88.0","65.0","1.04","0.00","M"
"1880-08-28","79.0","61.0","0.00","0.00","M"
"1880-08-29","78.0","63.0","0.00","0.00","M"
"1880-08-30","73.0","64.0","0.03","0.00","M"
"1880-08-31","80.0","63.0","0.81","0.00","M"
"1880-09-01","83.0","59.0","0.00","0.00","M"
"1880-09-02","83.0","58.0","0.00","0.00","M"
"1880-09-03","78.0","58.0","0.00","0.00","M"
"1880-09-04","87.0","60.0","0.00","0.00","M"
"1880-09-05","80.0","61.0","0.00","0.00","M"
"1880-09-06","75.0","51.0","0.00","0.00","M"
"1880-09-07","65.0","47.0","0.00","0.00","M"
"1880-09-08","65.0","42.0","0.00","0.00","M"
"1880-09-09","69.0","41.0","0.00","0.00","M"
"1880-09-10","74.0","53.0","0.02","0.00","M"
"1880-09-11","71.0","52.0","T","0.00","M"
"1880-09-12","56.0","46.0","0.00","0.00","M"
"1880-09-13","68.0","36.0","0.00","0.00","M"
"1880-09-14","67.0","39.0","0.00","0.00","M"
"1880-09-15","79.0","52.0","0.00","0.00","M"
"1880-09-16","84.0","50.0","0.00","0.00","M"
"1880-09-17","90.0","60.0","0.00","0.00","M"
"1880-09-18","74.0","62.0","1.58","0.00","M"
"1880-09-19","67.0","48.0","0.13","0.00","M"
"1880-09-20","60.0","44.0","0.00","0.00","M"
"1880-09-21","65.0","41.0","0.00","0.00","M"
"1880-09-22","65.0","42.0","0.00","0.00","M"
"1880-09-23","64.0","48.0","0.00","0.00","M"
"1880-09-24","77.0","59.0","0.01","0.00","M"
"1880-09-25","71.0","54.0","0.00","0.00","M"
"1880-09-26","65.0","46.0","0.00","0.00","M"
"1880-09-27","65.0","37.0","0.00","0.00","M"
"1880-09-28","60.0","47.0","0.00","0.00","M"
"1880-09-29","60.0","41.0","0.00","0.00","M"
"1880-09-30","58.0","37.0","0.00","0.00","M"
"1880-10-01","71.0","41.0","0.00","0.00","M"
"1880-10-02","68.0","45.0","0.00","0.00","M"
"1880-10-03","61.0","35.0","0.00","0.00","M"
"1880-10-04","72.0","36.0","0.00","0.00","M"
"1880-10-05","66.0","45.0","0.00","0.00","M"
"1880-10-06","64.0","38.0","0.00","0.00","M"
"1880-10-07","72.0","43.0","0.00","0.00","M"
"1880-10-08","78.0","50.0","0.00","0.00","M"
"1880-10-09","73.0","58.0","0.00","0.00","M"
"1880-10-10","67.0","52.0","T","0.00","M"
"1880-10-11","57.0","45.0","0.00","0.00","M"
"1880-10-12","61.0","34.0","0.00","0.00","M"
"1880-10-13","64.0","40.0","0.17","0.00","M"
"1880-10-14","58.0","50.0","0.16","0.00","M"
"1880-10-15","51.0","40.0","0.41","0.00","M"
"1880-10-16","40.0","31.0","1.08","M","M"
